unit_number,time_stamp,operational_setting_1,operational_setting_2,operational_setting_3,sensor_measurement_1,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_5,sensor_measurement_6,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_10,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_16,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21,status,rul
1.0,2017-06-30 12:00:00,0.0026,-0.0001,100.0,518.67,643.3,1593.68,1413.97,14.62,21.61,553.43,2388.15,9042.39,1.3,47.6,520.92,2388.12,8131.81,8.4256,0.03,393.0,2388.0,100.0,38.86,23.2793,0.0,71.0
1.0,2017-06-21 12:00:00,0.0007,0.0001,100.0,518.67,642.68,1590.85,1406.59,14.62,21.61,552.91,2388.1,9053.15,1.3,47.46,521.75,2388.16,8129.32,8.458,0.03,393.0,2388.0,100.0,38.9,23.3101,0.0,80.0
1.0,2017-09-02 12:00:00,0.0027,-0.0003,100.0,518.67,643.51,1595.16,1426.3,14.62,21.61,552.57,2388.21,9051.37,1.3,48.12,520.08,2388.25,8123.45,8.5227,0.03,397.0,2388.0,,38.47,23.0564,0.0,7.0
1.0,2017-05-23 12:00:00,0.0005,0.0002,100.0,518.67,642.64,1585.52,1406.6,14.62,21.61,,2388.05,9050.47,1.3,47.38,521.54,2388.06,8131.54,8.4139,0.03,392.0,2388.0,100.0,38.73,23.2653,0.0,109.0
1.0,2017-05-09 12:00:00,-0.0005,0.0002,100.0,518.67,642.22,1584.02,1402.78,14.62,21.61,554.01,2388.11,9053.43,1.3,47.41,521.93,2388.12,8130.36,8.4279,0.03,392.0,2388.0,100.0,38.86,23.4513,0.0,123.0
1.0,2017-03-09 12:00:00,0.0008,0.0001,100.0,518.67,642.12,1590.98,1394.8,14.62,21.61,553.69,2388.05,9046.46,1.3,47.29,521.79,2388.05,8125.69,8.3728,0.03,392.0,2388.0,100.0,39.05,23.4066,0.0,184.0
1.0,2017-08-24 12:00:00,-0.0038,-0.0003,100.0,518.67,643.79,1602.02,1423.99,14.62,21.61,,2388.25,9046.2,1.3,48.03,520.24,2388.23,8120.11,8.4779,0.03,396.0,2388.0,100.0,38.63,23.1673,0.0,16.0
1.0,2017-07-17 12:00:00,-0.0014,0.0005,100.0,518.67,643.11,,1412.6,14.62,21.61,553.25,2388.06,9044.81,,47.67,521.03,2388.15,8124.97,8.4621,0.03,394.0,2388.0,100.0,38.88,,0.0,54.0
1.0,2017-06-11 12:00:00,-0.0013,0.0001,100.0,518.67,642.21,1581.27,1403.21,14.62,21.61,553.64,2388.09,9053.28,1.3,47.57,521.41,2388.1,8124.4,8.4263,0.03,392.0,2388.0,100.0,38.69,23.4289,0.0,90.0
1.0,2017-08-29 12:00:00,-0.001,0.0003,100.0,518.67,644.21,1602.08,1426.62,14.62,,551.9,2388.26,9041.23,1.3,47.98,520.46,2388.25,8119.67,8.5158,0.03,397.0,2388.0,100.0,38.43,23.1787,0.0,11.0
1.0,2017-07-13 12:00:00,-0.0017,0.0001,100.0,518.67,642.45,1585.55,1406.83,14.62,21.61,553.09,2388.14,9050.65,1.3,47.34,520.99,2388.12,8129.34,8.4242,0.03,392.0,2388.0,100.0,38.85,23.2744,0.0,58.0
1.0,2017-05-29 12:00:00,,-0.0001,100.0,518.67,642.67,1584.38,,14.62,21.61,552.88,2388.1,9051.27,1.3,47.32,521.49,2388.09,8129.72,8.3961,0.03,391.0,2388.0,100.0,38.98,23.4712,0.0,103.0
1.0,2017-07-09 12:00:00,0.0002,-0.0001,,,643.01,1585.78,1413.25,14.62,21.61,553.7,2388.11,9045.1,,47.7,521.45,2388.13,8126.38,8.4328,0.03,391.0,2388.0,100.0,38.73,,0.0,62.0
1.0,2017-08-03 12:00:00,-0.002,0.0003,100.0,518.67,643.04,1585.61,1421.23,14.62,21.61,553.24,2388.26,9044.21,1.3,47.58,520.75,2388.16,8128.48,8.4432,0.03,395.0,2388.0,100.0,38.77,23.2791,0.0,37.0
1.0,2017-06-09 12:00:00,0.0012,0.0003,100.0,518.67,642.75,1584.18,1403.41,14.62,21.61,553.37,2388.06,9052.3,1.3,47.62,521.89,2388.08,8125.97,8.4353,0.03,391.0,2388.0,100.0,38.75,23.4149,0.0,92.0
1.0,2017-05-20 12:00:00,-0.0018,-0.0004,100.0,518.67,642.73,1584.82,1402.04,14.62,21.61,553.88,2388.1,9045.31,1.3,47.43,521.66,2388.05,8128.87,8.4247,0.03,392.0,2388.0,100.0,38.77,23.373,0.0,112.0
1.0,2017-05-12 12:00:00,-0.0012,-0.0002,100.0,518.67,642.29,1592.04,1397.93,14.62,21.61,553.88,2388.03,9049.64,1.3,47.29,522.04,2388.1,8129.85,8.404,0.03,391.0,2388.0,100.0,39.03,23.3975,0.0,120.0
1.0,2017-08-17 12:00:00,-0.0017,-0.0002,100.0,518.67,,1592.71,1417.41,14.62,21.61,552.02,2388.21,9044.03,1.3,47.86,520.23,2388.26,8121.76,8.49,0.03,395.0,2388.0,100.0,38.66,23.1615,0.0,23.0
1.0,2017-08-18 12:00:00,0.0004,-0.0003,100.0,518.67,643.26,1592.06,1414.99,14.62,21.61,552.71,2388.2,9042.12,1.3,48.03,519.85,,8124.87,8.4922,0.03,395.0,2388.0,100.0,38.68,23.2444,0.0,
1.0,2017-05-11 12:00:00,-0.0017,0.0001,100.0,518.67,642.41,1579.25,1406.81,14.62,21.61,553.76,2388.07,9054.42,1.3,47.27,521.97,2388.09,8133.95,8.3951,0.03,391.0,2388.0,100.0,,23.3085,0.0,121.0
1.0,2017-09-06 12:00:00,-0.0027,0.0001,100.0,518.67,643.64,1599.22,1425.95,14.62,21.61,551.29,2388.29,9040.58,1.3,48.33,520.04,2388.35,8112.58,8.5223,0.03,398.0,2388.0,,38.49,23.0675,0.0,3.0
1.0,,0.0008,0.0001,100.0,518.67,643.8,1603.46,1424.4,14.62,21.61,551.64,2388.29,9043.71,1.3,48.15,519.82,2388.27,8113.69,8.4984,0.03,395.0,2388.0,100.0,38.51,23.07,0.0,8.0
1.0,2017-08-08 12:00:00,0.0008,0.0001,100.0,518.67,643.0,1594.2,1417.31,14.62,21.61,552.8,2388.18,9048.06,1.3,47.77,520.47,2388.18,8126.97,8.4405,0.03,,2388.0,100.0,38.66,23.2962,0.0,32.0
1.0,2017-05-18 12:00:00,0.0022,-0.0002,100.0,518.67,642.12,1582.46,1403.93,14.62,21.61,553.77,2388.04,9047.86,1.3,47.35,521.85,2388.13,8135.4,8.4132,0.03,394.0,2388.0,100.0,38.9,,0.0,114.0
